pop_label,network_code,N,seed,dominant_group,flex_mean,cost_norm_mean,adjustment_mean,price_contrib_mean,social_contrib_mean,price_contrib_pct,social_contrib_pct,savings_per_flex_mean
Habitual,500a,500,1,Habit-driven,1.2818509754489156,8.797658991734282,0.918441092187491,0.9651412630139286,0.31670971243498686,75.29278219536617,24.70721780463383,-6.881673931254082
Habitual,500a,500,1,Price-responsive,5.873427415805853,7.951672155497544,3.1718162882626113,4.6819894320506,1.1914379837552522,79.71477470634949,20.28522529365051,0.004387194198770279
Habitual,500a,500,1,Social-influenced,2.38754584828544,8.831522490834475,1.041446042511549,1.2157113706669136,1.1718344776185263,50.91887016703567,49.08112983296433,-0.9390978879553612
Progressive,500a,500,1,Habit-driven,1.4142628889180064,8.685467641944063,1.1065380659140378,0.9364845372731194,0.477778351644887,66.2171470814443,33.78285291855571,-6.9954744871076535
Progressive,500a,500,1,Price-responsive,5.630776673688675,7.925271773565373,3.3286292863780425,5.044139182680321,0.5866374910083532,89.5815883846082,10.418411615391806,-0.018840731506634234
Progressive,500a,500,1,Social-influenced,2.6859433694652766,8.614290775886314,1.67862746377094,1.149099501325246,1.5368438681400307,42.78197055040707,57.21802944959292,-1.1142090004642984
Tipping,500a,500,1,Habit-driven,1.2377207326201765,8.812015282963946,0.9025054681341396,0.9355575231806743,0.30216320943950215,75.58712547378586,24.412874526214146,-7.523721623485578
Tipping,500a,500,1,Price-responsive,6.2454721224408285,8.073456501705643,3.1374675832607988,4.84877182689561,1.3967002955452186,77.63659386891369,22.36340613108631,-0.02473546920772012
Tipping,500a,500,1,Social-influenced,2.0168262533546164,8.80564869731736,1.0123904124978131,0.9776913233124128,1.0391349300422037,48.476725334480584,51.52327466551942,-5057.108706426655
Balanced,500a,500,1,Habit-driven,1.385193306174452,8.70116075621613,1.0524995411065443,0.9556050572598442,0.4295882489146079,68.98712641768245,31.012873582317564,-7.7078387121152545
Balanced,500a,500,1,Price-responsive,5.9627395627015956,7.9864491675721005,3.2322838133970517,5.323919407954699,0.6388201547468959,89.28646559137223,10.71353440862776,-0.03312417607596394
Balanced,500a,500,1,Social-influenced,2.4115465594116228,8.67561692587836,1.514095141581224,0.9051241551690419,1.5064224042425807,37.53293303156781,62.46706696843219,-3964.724539601146
Habitual,500a,500,2,Habit-driven,1.195712853513672,8.78433886324929,0.8843988792529851,0.9072537860909456,0.2884590674227263,75.87555686341645,24.124443136583544,-21.739681751860303
Habitual,500a,500,2,Price-responsive,5.42160117168733,8.019600419758483,3.3281546643258064,4.5618837377279,0.8597174339594303,84.1427392621751,15.85726073782491,-0.03002574906646394
Habitual,500a,500,2,Social-influenced,2.0536498135232977,8.835948187830883,0.946682071481385,0.9836933520345787,1.069956461488719,47.89976097954732,52.10023902045269,-1.1977095785595795
Progressive,500a,500,2,Habit-driven,1.4449503608002423,8.661100526414275,1.085488833231005,0.9558284242673364,0.489121936532906,66.14956819263878,33.850431807361225,-10.090104724270564
Progressive,500a,500,2,Price-responsive,5.99602419810738,7.910810947633823,3.115870321848518,5.456255461942874,0.5397687361645057,90.99788929579567,9.00211070420432,-0.022337895331808386
Progressive,500a,500,2,Social-influenced,2.476419714433891,8.61212240808669,1.561329827375244,0.8013538693452236,1.6750658450886682,32.359372067445065,67.64062793255493,-170.93214350386367
Tipping,500a,500,2,Habit-driven,1.2165101887400496,8.785598850578358,0.8936247233157,0.9076478836920986,0.3088623050479509,74.61079176263682,25.38920823736317,-10.92746457883935
Tipping,500a,500,2,Price-responsive,5.608242015748724,7.964619256476688,3.2970817382170114,4.628126415992001,0.9801155997567242,82.52365719944997,17.476342800550032,0.0032078600969901072
Tipping,500a,500,2,Social-influenced,1.8888526431577968,8.761671372443985,0.9897673391606936,0.8914784027302864,0.9973742404275102,47.19682109451941,52.803178905480586,-306.96778593074976
Balanced,500a,500,2,Habit-driven,1.4236871287107682,8.668359638501258,1.1215363439710082,0.9438282815928927,0.47985884711787535,66.2946417481195,33.7053582518805,-11.085578559229296
Balanced,500a,500,2,Price-responsive,5.596757846739669,7.908210649499294,3.359764062783921,5.050417355865637,0.5463404908740331,90.23826819321302,9.761731806786992,-0.014599974402147178
Balanced,500a,500,2,Social-influenced,2.4722975950906196,8.58860363348414,1.6019426554172156,0.9732362801573259,1.4990613149332943,39.36566059401327,60.634339405986736,-32.82746946432893
Habitual,500a,500,3,Habit-driven,1.264463228121504,8.785707962363402,0.8928516183682703,0.9505161640545201,0.31394706406698386,75.17151490965965,24.828485090340347,-236.75061655978016
Habitual,500a,500,3,Price-responsive,5.652545215729824,7.984341614780576,3.3081120618036395,4.678620519200667,0.9739246965291569,82.7701564629871,17.229843537012897,0.0024240696108992197
Habitual,500a,500,3,Social-influenced,1.9294115478991152,8.779561027312733,0.9931684086750454,0.8757816647493532,1.053629883149762,45.39112796867877,54.60887203132123,-1.3142248880822305
Progressive,500a,500,3,Habit-driven,1.4844223157800986,8.666940149381595,1.1455851409423738,0.9882495389454128,0.49617277683468597,66.57468891701916,33.425311082980826,-6.803270429481158
Progressive,500a,500,3,Price-responsive,5.891223148499945,7.940174935020588,3.2436787594004066,5.296352713155085,0.5948704353448597,89.9024290822131,10.097570917786893,-0.0274307255041866
Progressive,500a,500,3,Social-influenced,2.7143284442742934,8.573499949490405,1.624620574670651,1.060126865070094,1.6542015792041993,39.05669070028595,60.943309299714066,-1.297490711334276
Tipping,500a,500,3,Habit-driven,1.2751329094570865,8.78349811010426,0.9201763069069557,0.9542029848819839,0.3209299245751026,74.83164914065742,25.168350859342574,-12.518530951914313
Tipping,500a,500,3,Price-responsive,5.583300080175594,7.906504736971894,3.300862637072426,4.627081475778684,0.9562186043969095,82.87359463640298,17.126405363597023,0.021743020310036994
Tipping,500a,500,3,Social-influenced,2.1102663174433305,8.76248029962182,1.0465778134815948,1.0560656874498529,1.0542006299934779,50.04419009678918,49.955809903210834,-705.4480857379225
Balanced,500a,500,3,Habit-driven,1.4151167746886923,8.69588632909178,1.0898984559521545,0.9535525184056474,0.46156425628304487,67.3833096647036,32.616690335296404,-7.205378602240015
Balanced,500a,500,3,Price-responsive,5.790204122395745,7.983370902550238,3.144941360458954,5.1697557626327795,0.6204483597629646,89.28451663106051,10.715483368939488,-0.036549126256251015
Balanced,500a,500,3,Social-influenced,2.4154030584048845,8.641541484338038,1.5157489662353345,0.9026235279369969,1.512779530467888,37.36947855539618,62.630521444603815,-232.010354516534
Habitual,500a,500,4,Habit-driven,1.2871771238108052,8.686654379604466,0.922570274248137,0.9570858447117506,0.3300912790990547,74.35541131108752,25.644588688912474,-16.036437341583547
Habitual,500a,500,4,Price-responsive,5.605585134418881,7.869917416730073,3.2840080781860537,4.621526609716086,0.9840585247027946,82.4450347090338,17.554965290966184,-0.0012034834951356057
Habitual,500a,500,4,Social-influenced,2.288469341678103,8.774479914712005,1.076985002042746,1.2027914274973872,1.0856779141807158,52.55877391896353,47.441226081036476,-4.812777771232955
Progressive,500a,500,4,Habit-driven,1.518558160413015,8.547241374077226,1.1678149773232085,0.9886988647839795,0.5298592956290356,65.10773775797134,34.89226224202867,-17.636988108351336
Progressive,500a,500,4,Price-responsive,5.673022918181306,7.849756547576749,3.2527034745994463,5.194243067220474,0.47877985096083253,91.56041042199203,8.43958957800796,-0.02328045887041448
Progressive,500a,500,4,Social-influenced,2.839587597815769,8.566821407666492,1.7138669867726801,1.1911444069906605,1.6484431908251085,41.94779579636484,58.05220420363516,-17.945155726002618
Tipping,500a,500,4,Habit-driven,1.2824241242169576,8.698805587844266,0.9340782441568537,0.9573740250349946,0.32505009918196304,74.65346346471475,25.346536535285246,-16.96300802510799
Tipping,500a,500,4,Price-responsive,5.326266881464279,7.910608969219717,3.3067752214942034,4.504980824440246,0.8212860570240333,84.5804561562216,15.419543843778408,-0.0021688667613893008
Tipping,500a,500,4,Social-influenced,2.1165382771163874,8.680992698104689,1.0808153494998263,1.03928097531598,1.0772573018004075,49.10286700469771,50.897132995302286,-10.146307791846828
Balanced,500a,500,4,Habit-driven,1.4789433382788415,8.569784634223947,1.1238933636885167,0.9834638531348134,0.49547948514402823,66.49773711272434,33.50226288727567,-15.485076364245153
Balanced,500a,500,4,Price-responsive,5.756210971900622,7.87978453154419,3.2338606549488578,5.209058330835474,0.5471526410651465,90.4945693662704,9.50543063372961,-0.028790941456394277
Balanced,500a,500,4,Social-influenced,2.498343747269142,8.521287910273264,1.5802106302621635,0.9872112776132288,1.511132469655913,39.51462958979593,60.48537041020406,-2.2297168195214825
Habitual,500a,500,5,Habit-driven,1.2439730436231522,8.795759976202543,0.923690072702871,0.9550962584236024,0.28887678519955007,76.77789027018001,23.22210972982,-151.89137984861307
Habitual,500a,500,5,Price-responsive,5.227798298915948,7.994605610228827,3.293775420404269,4.44423443215489,0.7835638667610573,85.01158954576461,14.988410454235378,-0.013660740741826959
Habitual,500a,500,5,Social-influenced,1.8573624921507532,8.854245184831795,0.981387968230707,0.8289409201147738,1.0284215720359797,44.63000214647882,55.36999785352118,-2.194226803354262
Progressive,500a,500,5,Habit-driven,1.4395132537854174,8.658582355923546,1.1255209800157004,0.9919108912752135,0.44760236251020386,68.90599226278981,31.094007737210188,-3.8976142499302537
