pop_label,network_code,N,seed,dominant_group,cost_norm_mean,cost_norm_day29,adjustment_mean
Habitual,500a,500,1,Habit-driven,8.797658991734282,8.666899834641193,0.918441092187491
Habitual,500a,500,1,Price-responsive,7.951672155497544,7.30204525825015,3.1718162882626113
Habitual,500a,500,1,Social-influenced,8.831522490834475,9.021011148436354,1.0414460425115493
Habitual,500a,500,2,Habit-driven,8.78433886324929,8.642767785205704,0.8843988792529851
Habitual,500a,500,2,Price-responsive,8.019600419758483,7.542642234051455,3.3281546643258064
Habitual,500a,500,2,Social-influenced,8.835948187830883,8.556877651901612,0.9466820714813851
Habitual,500a,500,3,Habit-driven,8.785707962363402,8.609361100032237,0.8928516183682701
Habitual,500a,500,3,Price-responsive,7.984341614780576,7.267217016665223,3.3081120618036404
Habitual,500a,500,3,Social-influenced,8.779561027312733,8.910305048775266,0.9931684086750454
Habitual,500a,500,4,Habit-driven,8.686654379604466,8.508017672730336,0.922570274248137
Habitual,500a,500,4,Price-responsive,7.869917416730073,7.150260706743314,3.2840080781860537
Habitual,500a,500,4,Social-influenced,8.774479914712005,8.392808840626797,1.076985002042746
Habitual,500a,500,5,Habit-driven,8.795759976202543,8.585708999146496,0.923690072702871
Habitual,500a,500,5,Price-responsive,7.994605610228827,6.967649284981802,3.293775420404269
Habitual,500a,500,5,Social-influenced,8.854245184831795,8.841000565196941,0.981387968230707
Habitual,500a,500,6,Habit-driven,8.762653604607515,8.646643022805845,0.9149493596630165
Habitual,500a,500,6,Price-responsive,7.883444177507163,6.813330293053131,3.405653128221544
Habitual,500a,500,6,Social-influenced,8.766630561301515,8.662363085305234,1.1145185811772085
Habitual,500a,500,7,Habit-driven,8.774438438369133,8.510891537273142,0.892191768430698
Habitual,500a,500,7,Price-responsive,7.9130651957430596,6.7036009333873485,3.3005132307423763
Habitual,500a,500,7,Social-influenced,8.800859962126346,8.652954998742228,0.9933918055422759
Habitual,500a,500,8,Habit-driven,8.778848606786122,8.593780524293345,0.940854264821418
Habitual,500a,500,8,Price-responsive,7.945496318039958,7.2224506258018275,3.2987758457542866
Habitual,500a,500,8,Social-influenced,8.75251105026904,8.819136607601632,1.1499164949816634
Habitual,500a,500,9,Habit-driven,8.749931041485327,8.646320648319108,0.9487170773173527
Habitual,500a,500,9,Price-responsive,7.874176806043605,7.494017666694757,3.318597501185629
Habitual,500a,500,9,Social-influenced,8.769772171373706,8.80037967706209,0.9990117806236966
Habitual,500a,500,10,Habit-driven,8.7992977065391,8.668874642031048,0.8904846602556195
Habitual,500a,500,10,Price-responsive,7.8662859963193,7.235725845790572,3.1643033463934063
Habitual,500a,500,10,Social-influenced,8.872014426665675,8.814294703134594,0.9802532863712906
Habitual,500b,500,1,Habit-driven,8.803376113616855,8.624882469556653,0.9235709663549796
Habitual,500b,500,1,Price-responsive,7.953302282864086,7.265772431010228,3.1659671745048343
Habitual,500b,500,1,Social-influenced,8.842935158889428,8.700018913340474,1.079421201352319
Habitual,500b,500,2,Habit-driven,8.793629599312538,8.660689128598994,0.8837551901145465
Habitual,500b,500,2,Price-responsive,8.021921211458716,7.535275542811002,3.3094852259097616
Habitual,500b,500,2,Social-influenced,8.803220660959115,8.742995510240524,1.0041167064903689
Habitual,500b,500,3,Habit-driven,8.778880592258712,8.605819128015712,0.8891306772460924
Habitual,500b,500,3,Price-responsive,7.961805530358716,7.37312041140838,3.2920146471823704
Habitual,500b,500,3,Social-influenced,8.78525283975567,9.015133571565976,0.9423684075215444
Habitual,500b,500,4,Habit-driven,8.693888914196059,8.586512576412746,0.9270633356646801
Habitual,500b,500,4,Price-responsive,7.879045718012722,7.295781767390477,3.31277783780953
Habitual,500b,500,4,Social-influenced,8.795589492258376,8.514991593187254,1.0600775514362333
Habitual,500b,500,5,Habit-driven,8.799130683432342,8.630299678230994,0.9132337009675874
Habitual,500b,500,5,Price-responsive,7.992145357472843,7.264916549402326,3.2799880099481684
Habitual,500b,500,5,Social-influenced,8.840128253450532,8.87332024448509,0.9963644977693532
